0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.5777778,0.9444444,0.85,-0.15,0.8611111,-0.033333335,0.19444445,9.6152525,8.311707,-5.0709505,7.897329,1.2537663,4.5120926,5.6440363,146,96,-80,-8,-111,-178,-28,0.6943645,1.0139363,0.94068927,-0.13976166,0.10708043,-0.7916345,0.38609985,11.658672,6.949179,9.068926,1.023835,-75.40307,-75.83012,19.165539
-0.71666664,-0.3,0.47777778,0.32222223,-0.4,0.60555553,-0.6888889,9.269152,-2.1127932,2.226298,9.043286,-8.416044,0.0661512,-2.7289996,177,75,171,3,90,-197,-123,-0.6563312,-0.3378466,0.70910764,0.3793892,-0.11324311,0.023932531,-1.6888889,6.0335493,-3.7846596,23.132986,5.7166986,28.67569,-58.162304,-100
0.6944444,-0.03888889,0.7,0.8111111,-0.43888888,0.40555555,-0.67777777,4.9970455,8.840961,6.8673944,5.4663925,8.348421,0.02888878,7.9412155,199,146,-43,-183,120,-16,-178,1.3538764,0.045209993,0.13913436,0.9182694,0.5611111,0.60399437,-1.6777778,65.9432,8.409888,-56.086563,10.715829,100,19.843882,-100
0.26666668,0.8611111,0.5611111,0.65,0.7222222,0.1388889,0.43333334,6.4622684,7.2471,-7.7908506,8.848666,5.050503,-7.292134,-8.534839,-92,-78,-27,74,5,111,66,0.3190161,0.9391146,0.5243082,0.7758929,0.6026851,0.46877447,1.4333333,5.2349424,7.8003454,-3.6802926,12.589289,-11.953714,32.98856,100
-0.4888889,-0.094444446,-0.2888889,-0.3,0.70555556,-0.60555553,-0.45555556,7.5509405,4.608638,6.367696,1.2341902,-4.1990967,-6.8835425,-0.57373226,-200,-90,124,20,-12,166,-164,-0.7986986,-0.074698985,0.023148194,-0.2561102,1.418699,-0.06957116,-1.4555556,-30.98097,1.9745463,31.203709,4.3889823,71.314354,53.59844,-100
-0.78333336,-0.75555557,-0.083333336,-0.17777778,0.8055556,-0.82222223,-0.41666666,-3.5408769,-5.36239,-6.200019,1.7506248,3.429198,-9.1716,-1.1882013,-87,-42,111,-109,34,131,24,-0.7978032,-0.8298571,-0.06853161,-0.17077747,0.85087955,-0.5438226,-0.123683676,-1.4469861,-7.4301543,1.4801724,0.70003027,4.5324,27.839964,29.2983
-0.84444445,0.33333334,-0.9444444,0.23333333,0.35555556,0.5388889,0.7722222,-2.565219,-3.7999413,8.647705,4.7790303,-2.4884868,6.1861434,-5.38188,63,7,-6,-87,-33,-150,-153,-0.76225466,0.27776822,-0.920637,0.14130023,0.51135665,0.046455678,-0.22777778,8.218982,-5.5565114,2.3807445,-9.20331,15.580112,-49.24332,-100
0.9611111,-0.2611111,0.13333334,-0.32222223,0.5611111,-0.3888889,0.32777777,-4.4349856,-0.23660341,1.1732424,-2.085381,9.307732,1.8159137,7.796729,132,138,68,180,-163,130,-75,1.0979071,-0.20815639,0.278839,-0.19959445,0.20902859,0.06418171,-0.6722222,13.67959,5.2954717,14.550567,12.262776,-35.208252,45.30706,-100
-0.027777778,0.22777778,-0.027777778,-0.083333336,-0.3611111,-0.9611111,-0.31666666,-3.803457,-2.812258,-5.697891,5.3278475,-7.25028,-9.324185,-9.11299,177,-192,-34,-137,94,45,-61,0.08883523,0.15360127,-0.547449,-0.11531188,0.2943822,-0.9179094,-1.3166667,11.661301,-7.4176507,-51.967117,-3.1978552,65.54933,4.320173,-100
-0.4,0.73333335,0.8388889,0.42222223,-0.76111114,-0.27222222,0.6166667,6.2516837,-4.3615527,-2.387231,-5.806717,5.9190807,-2.7175777,1.1491432,22,159,56,-16,57,28,181,-0.3390248,0.7060852,0.8426453,0.36511028,-1.2307959,-0.3228636,1.6166667,6.0975194,-2.7248142,0.37563717,-5.7111945,-46.968475,-5.0641375,100
-0.84444445,0.98888886,0.85555553,-0.22777778,0.42777777,0.95,-0.23888889,7.212332,-7.1735263,-7.208532,-2.4206564,-2.9208937,-8.114352,2.2723033,16,3,81,-14,-50,193,119,-0.75081897,0.9568198,1.0537996,-0.13882884,-0.18391141,1.3867961,0.76111114,9.362545,-3.2069092,19.824411,8.894894,-61.16892,43.679615,100
0.21666667,-0.60555553,-0.8833333,-0.8833333,-0.8666667,-0.5277778,0.7,0.93398434,3.5517044,-1.2210902,-7.181023,6.9446554,9.412742,-3.6629333,90,-103,140,-57,-138,-107,-154,0.27317226,-0.60816604,-0.83571845,-0.9837708,-0.89981157,-0.6833238,-0.3,5.650559,-0.2610462,4.76149,-10.043744,-3.3144894,-15.554602,-100
0.90555555,0.8055556,0.71666664,-0.5277778,-0.2777778,0.23333333,0.85,0.36340183,-1.5823928,-4.406203,-6.0022135,2.2913496,-1.7923164,4.3651714,7,89,96,-93,-115,-105,65,0.8267738,0.7989832,0.9295128,-0.80351406,-1.2777778,-0.58177257,1.85,-7.878171,-0.65723467,21.284613,-27.573631,-100,-81.51059,100
0.7777778,0.45555556,0.42222223,0.33888888,0.85555553,0.71666664,-0.15,3.8302672,8.496739,-7.1333013,-9.646885,-3.1480372,4.5585365,-9.499181,-181,186,180,-79,150,-21,25,0.6946373,0.5159321,0.3899698,0.13584839,1.3620855,0.6618301,-0.15975317,-8.31405,6.037654,-3.2252438,-20.30405,50.652992,-5.483653,-0.97531664
-1,-0.1388889,0.5388889,-0.14444445,0.094444446,-0.27222222,-0.34444445,2.1025279,-8.245004,9.617224,-4.381179,-4.6703506,8.905289,-5.8319774,26,54,-116,113,-129,133,26,-0.87012744,-0.19899504,0.604129,-0.13494225,-0.5012715,0.24791723,0.515982,12.987253,-6.010615,6.52401,0.9502192,-59.571594,52.013947,86.04264
0.07777778,0.5388889,0.7,0.044444446,-0.50555557,0.74444443,0.64444447,-1.8432025,7.538492,-8.46152,-8.901106,-1.7336903,-2.8129523,-1.3394057,162,-179,-6,-40,85,-98,119,0.048928354,0.5968655,0.42157036,-0.13831127,-0.48192152,0.29256392,1.6444445,-2.8849423,5.79766,-27.842964,-18.275572,2.3634036,-45.188053,100
0.9777778,0.24444444,-0.6611111,0.9777778,0.9111111,-0.7777778,-0.9166667,-3.284493,-7.768935,-5.028441,-0.63947994,-2.2191806,7.8185897,4.650016,81,-71,-142,-121,-98,-60,-10,1.1460035,0.13939302,-0.8995467,0.8144567,0.45219126,-1.1289274,-0.7032551,16.822569,-10.505142,-23.843557,-16.332108,-45.891983,-35.11496,21.341158
-0.62777776,0.98888886,0.37222221,-0.42222223,-0.14444445,0.8611111,0.78333336,-3.574731,8.992992,9.366523,6.038387,-4.39732,-1.8019402,-1.1525581,-79,18,-168,-21,-55,135,174,-0.6223338,1.0900472,0.4083905,-0.3161625,-0.5308662,1.1793039,1.7833333,0.54439706,10.11584,3.6168272,10.605973,-38.642178,31.819279,100
-0.85555553,0.6944444,-0.62777776,-0.75,0.06666667,-0.49444443,0.35,0.18127763,5.104503,0.5429485,-1.2909693,-8.806641,2.9594302,6.5728927,191,-108,-192,194,63,63,74,-0.7638194,0.7900755,-0.8976671,-0.7012262,0.24302624,-0.12767605,1.35,9.173615,9.563102,-26.988934,4.8773813,17.635958,36.676838,100
0.22777778,0.67777777,-0.98888886,0.29444444,0.8611111,-0.13333334,0.7,5.350667,4.912492,-0.64437824,7.620365,2.8937297,1.8258157,1.540288,125,124,-67,102,189,-93,152,0.26690182,0.6934749,-1.4246758,0.30345201,1.3023101,-0.606904,1.7,3.912403,1.5697116,-43.578686,0.90075696,44.119904,-47.357063,100
0.6388889,-0.5,0.1,-0.094444446,-0.31111112,-0.7222222,-0.73888886,8.289751,-5.4910603,3.2508073,9.158347,-4.7069616,2.919404,1.6346725,171,131,127,198,145,-76,34,0.66187,-0.51488614,0.18463407,0.105482295,-0.03410678,-0.7056587,-0.42564592,2.2981114,-1.4886146,8.4634075,19.992674,27.700434,1.656354,31.324297
-0.022222223,0.31666666,-0.84444445,-0.98333335,-0.35,-0.12777779,-0.083333336,6.2043953,-8.872659,6.0353436,-3.467262,-4.301349,7.387204,-3.152208,62,120,-187,-182,76,-85,-125,0.28547883,0.2692687,-1.1626179,-1.0765852,0.467122,-0.32527685,-1.0833334,30.770105,-4.739797,-31.817343,-9.325179,81.7122,-19.749908,-100
0.044444446,0.40555555,-0.55,-0.7777778,-0.05,0.03888889,-0.62222224,-6.953857,4.3921137,-7.073653,-0.8045854,-1.0171202,8.890064,-5.4108334,-67,-178,67,-33,-91,48,-150,-0.12928785,0.42842674,-0.38662466,-0.7342539,0.15140592,0.41293824,-1.6222222,-17.37323,2.2871192,16.337534,4.3523912,20.14059,37.404934,-100
-0.8111111,0.96666664,-0.5222222,-0.43888888,0.044444446,-0.98888886,0.8277778,0.9879985,1.7415196,-3.5000217,3.1118565,2.9146955,7.4312315,5.8376536,-106,76,86,41,-101,186,-15,-0.86396986,0.97472835,-0.28748974,-0.3285377,-0.23638506,-0.4054444,0.5942889,-5.2858753,0.80616677,23.473248,11.03512,-28.08295,58.344448,-23.348892
-0.34444445,0.56666666,-0.17222223,0.71666664,-0.7777778,-0.37222221,0.46666667,3.503296,0.7783424,-9.882618,-0.9987814,-1.2669154,9.115522,-0.09248628,-29,137,173,-30,-40,-165,69,-0.26687413,0.56205523,-0.03969245,0.59403414,-1.7592485,-1.2406847,1.4666667,7.757031,-0.46114397,13.252977,-12.263253,-98.14708,-86.84626,100
0.6333333,0.2888889,0.51666665,-0.27222222,-0.75,0.6333333,0.62777776,3.5731814,6.149036,-2.7082524,-5.9259872,-4.9433894,9.35887,1.6420673,-9,-88,89,43,-98,-108,-75,0.50104654,0.3591027,0.9183724,-0.40158352,-1.289082,0.34346166,-0.3415587,-13.228677,7.0213814,40.170574,-12.93613,-53.90821,-28.98717,-96.93365
